product;Type;product_id;temperature;solubility;fat;protein;salt;sugars;water;fat_water;fat_source;protein_source;salt_source;sugar_source;water_source;solubility_source;variance
;;;°C;mol/(kg*Atm);g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;;;;;;;
Water;Water;;13;0.046152035;0;0;0;0;100;100;;;;;;unknown;
Water;Water;;14;0.044595714;0;0;0;0;100;100;;;;;;unknown;
Water;Water;;15;0.043135358;0;0;0;0;100;100;;;;;;unknown;
Recipe 1_50/50 oleic/stearic acid;Fish;;0;0.071277793;18.8;17.5;0.39;;64.6;83.4;Abel_2018;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 2_50/50 stearic/DHA and EPA mix;Fish;;0;0.08209502;19.8;17.5;0.39;;63.8;83.6;Abel_2019;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 3_50/50 oloeic/DHA and EPA mix;Fish;;0;0.08135958;18.9;17.5;0.39;;64.2;83.1;Abel_2020;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 4_33/33/33 oleic/stearic/DHA and EPA mix;Fish;;0;0.083853173;19.4;17.5;0.39;;64;83.4;Abel_2021;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 5_100% stearic acid;Fish;;0;0.082881155;18.5;17.5;0.39;;64.6;83.1;Abel_2022;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 6_100% oleic acid;Fish;;0;0.072058614;18.5;17.5;0.39;;63.9;82.4;Abel_2023;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 7_100% DHA and EPA mix;Fish;;0;0.08910069;14.5;17.5;0.39;;64.1;78.6;Abel_2024;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 8_control;Fish;;0;0.089328861;0.6;17.5;0.39;;78.1;78.7;Abel_2025;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 1_50/50 oleic/stearic acid;Fish;;8;0.058376623;18.8;17.5;0.39;;64.6;83.4;Abel_2026;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 2_50/50 stearic/DHA and EPA mix;Fish;;8;0.070247934;19.8;17.5;0.39;;63.8;83.6;Abel_2027;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 3_50/50 oloeic/DHA and EPA mix;Fish;;8;0.071946023;18.9;17.5;0.39;;64.2;83.1;Abel_2028;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 4_33/33/33 oleic/stearic/DHA and EPA mix;Fish;;8;0.068250689;19.4;17.5;0.39;;64;83.4;Abel_2029;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 5_100% stearic acid;Fish;;8;0.064438503;18.5;17.5;0.39;;64.6;83.1;Abel_2030;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 6_100% oleic acid;Fish;;8;0.061038961;18.5;17.5;0.39;;63.9;82.4;Abel_2031;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 7_100% DHA and EPA mix;Fish;;8;0.077072193;14.5;17.5;0.39;;64.1;78.6;Abel_2032;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 8_control;Fish;;8;0.074025974;0.6;17.5;0.39;;78.1;78.7;Abel_2033;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 1_50/50 oleic/stearic acid;Fish;;20;0.049498468;18.8;17.5;0.39;;64.6;83.4;Abel_2034;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 2_50/50 stearic/DHA and EPA mix;Fish;;20;0.053786392;19.8;17.5;0.39;;63.8;83.6;Abel_2035;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 3_50/50 oloeic/DHA and EPA mix;Fish;;20;0.060237382;18.9;17.5;0.39;;64.2;83.1;Abel_2036;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 4_33/33/33 oleic/stearic/DHA and EPA mix;Fish;;20;0.054504563;19.4;17.5;0.39;;64;83.4;Abel_2037;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 5_100% stearic acid;Fish;;20;0.048820406;18.5;17.5;0.39;;64.6;83.1;Abel_2038;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 6_100% oleic acid;Fish;;20;0.061588559;18.5;17.5;0.39;;63.9;82.4;Abel_2039;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 7_100% DHA and EPA mix;Fish;;20;0.048600376;14.5;17.5;0.39;;64.1;78.6;Abel_2040;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
Recipe 8_control;Fish;;20;0.026798658;0.6;17.5;0.39;;78.1;78.7;Abel_2014;MeatyLab;MeatyLab;MeatyLab;Abel_2018;Abel_2018;
controlW;Fish;;2.2;0.08219697;6;21;0.5;;66;72;Abel_2014;MeatyLab;Abel_2020;MeatyLab;Abel_2020;Abel_2020;
controlS;Fish;;2.2;0.075096484;5;21;1.2;;72;77;Abel_2042;MeatyLab;Abel_2020;MeatyLab;Abel_2020;Abel_2020;
carbW;Fish;;2.2;0.084161932;6;21;0.5;;66;72;Abel_2043;MeatyLab;Abel_2020;MeatyLab;Abel_2020;Abel_2020;
carbS;Fish;;2.2;0.073438126;5;21;1.2;;72;77;Abel_2044;MeatyLab;Abel_2020;MeatyLab;Abel_2020;Abel_2020;
SGSW;Fish;;2.2;0.083950121;6;21;0.5;;66;72;Abel_2045;MeatyLab;Abel_2020;MeatyLab;Abel_2020;Abel_2020;
SGSS;Fish;;2.2;0.073381125;5;21;1.2;;72;77;Abel_2046;MeatyLab;Abel_2020;MeatyLab;Abel_2020;Abel_2020;
renneted casein matrices;Cheese;;5;0.0385;0.39;31.2;1.9;5.08;61.43;61.82;paper;paper;paper;paper;paper;Lamichhane et al 2021;
renneted casein matrices;Cheese;;12;0.034;0.39;31.2;1.9;5.08;61.43;61.82;paper;paper;paper;paper;paper;Lamichhane et al 2021;
renneted casein matrices;Cheese;;25;0.025;0.39;31.2;1.9;5.08;61.43;61.82;paper;paper;paper;paper;paper;Lamichhane et al 2021;
renneted casein matrices;Cheese;;5;0.028;0.39;31.11;2.5;4.62;61.38;61.77;paper;paper;paper;paper;paper;Lamichhane et al 2022;
renneted casein matrices;Cheese;;5;0.034;0.39;31.11;1.5;5.62;61.38;61.77;paper;paper;paper;paper;paper;Lamichhane et al 2023;
renneted casein matrices;Cheese;;5;0.036;0.39;31.11;0;7.12;61.38;61.77;paper;paper;paper;paper;paper;Lamichhane et al 2024;
poultry fillets ;Meat;P36017;4;0.064625992;1.34;23.5;0.13;0.2;74.3;75.64;meatyLab;meatyLab;meatyLab;meatyLab;meatyLab;Meredith et al 2014;
